name,year,num_parts
Rock Raiders HQ,1999,411
TIE Fighter & Y-wing,2002,411
Stone Tower Bridge,1998,410
Moana & Merida,2023,410
TIE Fighter & Y-wing,1999,410
Batman Cowl,2021,410
Universal Set with Storage Case,1994,410
Extra Large Freestyle Bucket,1995,410
Large Brick Box,2007,410
Basic Building Set,1990,410
Large Freestyle Bucket,1995,409
Motorcycle,1980,409
Battle on Takodana,2016,409
Burlington Northern Santa Fe Locomotive,2004,409
Bank & Money Transfer,2011,409
Simple and Motorized Mechanisms Base Set,2009,409
Obi-Wan Kenobi vs. Darth Vader,2022,408
The First Night,2014,408
Police Patrol,2014,408
Rescue Helicopter,2011,408
Mobile Police Unit,2011,408
Classic Building Table,1999,408
Desk Organizer,2020,407
Spinlyn's Cavern,2014,407
Jiaxing Factory,2016,407
Cars,2010,407
Armored Assault Tank (AAT),2009,407
Basic Building Set,1968,407
Galactic Mediator,1992,406
Ninjago 10,2021,406
Service Station,2007,406
Fiber Optic Multi Set / Multi Racer Set (with Fibre Optics),1996,406
Bonus Backpack Set,1998,406
Battle at the Ancient Village,2021,406
Alpha Centauri Outpost,1991,406
Rock Roader,2016,406
Fire Breathing Fortress,1993,406
ASDA Grocery Store,2022,405
Small Bucket,1991,405
The Hydra Fortress Smash,2015,405
Rainbow Caterbus,2020,405
Catamaran,2020,405
Large Bucket,1999,405
Wyld-Mayhem Star Fighter,2019,405
Pirates Perilous Pitfall,1997,404
"Box of Standard Bricks, 3+",1995,404
"Lots of Extra Basic Bricks, 3+",1996,404
Grocery Store,2022,404
Passenger Plane - ANA version,2006,404
Passenger Plane,2006,404
The Knight Bus,2019,403
Pre Vizsla's Mandalorian Fighter,2012,403
Dobby the House Elf,2023,403
Auto Transport Heist,2017,403
Indy Transport,1996,403
Motorbike with Sidecar,1979,403
Train Station,2014,403
Master Mechanic Set,1966,403
Off Road Command Center,2012,403
Garbage Truck Getaway,2010,402
Snow Resort Chalet,2017,402
LEGO Store,2022,402
Large Pink Brick Box,2009,402
Gate Assault,2006,402
Hospital,1978,402
Batmobile: The Penguin Chase,2021,402
Universal Building Set,1976,401
Journey to the Skull Dungeons,2020,401
Hair Salon,2023,401
The DeLorean Time Machine,2013,401
Air Temple,2006,401
The Ultimate Battle for Asgard,2017,401
Sea Jet,1993,401
Super Train Set,1968,401
Universal Building Set,1977,401
Sky Police Diamond Heist,2019,400
"Box of Standard Bricks, 5+",1995,400
400-Piece Purple Bucket,1998,400
Newbury Abandoned Prison,2020,400
ARC-170 Starfighter,2005,400
Attack of the Wargs,2012,400
Picture Frame,2020,400
Skeleton Tower,2007,400
Special Value,1995,400
Medium Bulk Bucket,1997,400
"Lots of Extra Basic Bricks, 5+",1997,400
Hulk Lab Smash,2014,399
Toa Undersea Attack,2007,399
Police Station,1983,399
Power Truck,1981,398
Porsche 911 RSR and 911 Turbo 3.0,2018,398
Police Command Base,1986,397
TECHNIC Control I,1986,397
Sheung Wan Western Market,2017,397
NHL Championship Challenge,2004,397
Volcano Rock City Concert,2020,397
Tarakava,2001,397
Safari Wildlife Tree House,2021,397
Blue's Helicopter Pursuit,2018,397
Baxter Robot Rampage,2013,397
Modular Sweet Surprises,2018,396
Fire Station,1981,396
Black Ace TIE Interceptor,2019,396
ARC-170 Starfighter,2010,396
Riverside Houseboat,2019,396
Hogwarts: Fluffy Encounter,2021,395
Ultimate Creatures Accessory Set,2005,395
Cole's Dragon Cruiser,2022,395
Mrs. Puff's Boating School,2007,394
Cities and Transportation,2000,394
Sandy's Speedboat,2020,394
Squidman's Pitstop,2009,394
Drop Ship,2010,394
Batman Mech vs. Poison Ivy Mech,2019,394
The Hobbit: An Unexpected Journey,2012,394
Raptor Escape,2015,394
Cargo Station,1995,394
Heavy-Duty Helicopter,2012,393
Axl's Rumble Maker,2017,393
Turbo Racer,2000,393
Cargo Heliplane,2013,393
Thwomp Drop Expansion Set,2020,393
Red Fury,1999,393
The Batmobile: Two-Face's Escape,2006,393
Gallimimus and Pteranodon Breakout,2020,392
AT-AP Walker,2008,392
Heartlake Food Market,2015,392
Christmas Tree,2019,392
Duel on Geonosis,2013,391
Lunar Limo,2010,391
Beach Glamping,2022,391
Basic Set,1981,391
Universal Building Set,1977,390
Polaris I Space Lab,1987,390
Bounty Hunter Gunship,2011,390
John Deere 9620R 4WD Tractor,2022,390
Universal Building Set,1976,390
Basic Bricks with Fun Figures,2009,390
Robotics Discovery Set,1999,390
Hulk's Helicarrier Breakout,2012,390
Black Manta Deep Sea Strike,2015,389
Underwater Loop,2019,389
Droid Gunship,2019,389
Ludo Game,2018,389
Trash Chomper,2014,389
Championship Challenge II - FC Bayern Promo Edition,2003,389
Championship Challenge II - Equipe de France Promo Edition,2002,389
Jedi T-6 Shuttle,2011,389
Rock Island Refuge,1991,388
Off-Road Fire Truck & Fireboat,2010,388
Stephanie's Beach House,2014,388
Championship Challenge II,2004,388
Family House,2021,388
Darth Vader,2002,388
Monster Crushers,2009,388
Championship Challenge II,2002,388
Heartlake City Hospital,2020,388
Deep Sea Helicopter,2015,388
Hogwarts Express,2004,388
Fighter Plane Chase,2023,387
Treehouse Adventures,2016,387
The Nether Railway,2017,387
Arctic Rescue Unit,1986,387
Train Station,2007,387
Rockoh T3,2008,387
Rhino and Sandman Super Villain Team-up,2015,387
Mountain River Heist,2018,387
Caribbean Clipper,1989,387
Pig City Teardown,2016,386
Jay Walker One,2015,386
Hospital,2006,386
Modular Modern Home,2017,386
Arc de Triomphe,2017,386
The Pirate Ship Adventure,2019,386
Black Castle,2005,386
Skull Island,1995,386
City House,2010,385
Tough Truck Rally,2000,385
Count Dooku's Solar Sailer,2009,385
The Hulkbuster: The Battle of Wakanda,2023,385
Ultimate Stunt Riders Challenge,2023,385
Pop Village Celebration,2020,385
Imperial Assault Hovertank,2016,385
Sora's Transforming Mech Bike Racer,2023,384
Fighter Plane Attack,2009,384
Bulldozer,2015,384
Railway Station,1980,384
Grand Soccer Stadium,2006,384
Building Stories with NaNa Bird,2001,384
Deluxe Basic Set,1966,383
Transport Chopper,2012,383
Spiderjet vs. Venom Mech,2020,383
Level One - Kits 1-3,2012,383
Train Cars,1997,383
Lavatraz,2010,382
Helicopter Transporter,2014,382
World of Wonders,2023,382
Helicopter Transporter,2009,382
Rancor Pit,2013,381
Basic Pack,1986,381
Dragon Mountain,2013,381
Iron Man Figure,2022,381
20th Anniversary Jackpot Bucket,1993,381
Battle at the Pass,2006,380
Prehistoric Power,2006,380
Wookiee Catamaran,2005,380
Scorpion Palace,2003,380
Fire Command Unit,2021,380
Junkrat & Roadhog,2019,380
Ariel's Royal Celebration Boat,2018,380
Cragger's Fire Striker,2014,380
Horse Vet Trailer,2016,379
Ariel's Undersea Palace,2015,379
The Dynamic Duo Funhouse Escape,2012,379
Search Sub [with CD],1997,379
Mack's Team Truck,2011,379
Imperial Inspection,2005,379
Tow Truck,1982,379
Gungan Sub,1999,379
Sunshine Surfer Van,2018,379
Bracelet Designer Mega Pack,2023,379
Super Battle Droid,2002,378
Jungle Halftrack Mission,2017,378
Street Chopper / Trike,1993,378
Basic Bricks - Medium,2008,378
Emma's Art Café,2018,378
Iron Man: Detroit Steel Strikes,2017,378
Search Sub [No CD],1997,378
Kai's Blade Cycle & Zane's Snowmobile,2019,377
Mos Eisley Cantina,2018,376
Republic Striker Starfighter,2012,376
City Central Airport,2018,376
Fire Engine,2016,376
Basic Set,1987,376
Police Headquarters,1979,376
Jewelry Box,2020,376
Sea Rescue Centre,2023,376
Fight on the Flying Wing,2009,376
Hulk vs. Red Hulk,2017,376
Silja Line Ferry,1991,376
Beware the Vulture,2017,376
Exo-Toa,2002,376
Basic Set in Bucket,1987,375
The King's Mech,2016,375
Mobile Police Unit,2014,375
Wiggler's Poison Swamp Expansion Set,2021,375
Street Motorcycle,2015,375
The Hulkbuster Smash-Up,2018,375
Jet-Copter Encounter,2011,375
Lava Chamber Gate,2006,375
Mobile Command Center,2017,374
Heartlake Horse Show,2014,374
Roaring Power,2014,374
Arctic Supply Plane,2014,374
Coastal Rescue Base,1989,374
Belle's Enchanted Castle,2016,374
Modular Winter Vacation,2018,374
Diagon Alley,2018,374
Arctic Outpost,2014,374
SPIKE Prime Elements Set,2020,374
MT-51 Claw-Tank Ambush,2007,374
Dolphins Rescue Mission,2019,374
Off-Road Buggy,2021,374
Train Set with Signal,1975,373
Robo HipHop Car,2021,373
Water Park,2022,373
Karzahni,2007,373
Trash Compactor Escape,2010,373
Spinjitzu Dojo,2011,373
Z-95 Headhunter,2013,373
Pasaana Speeder Chase,2019,373
2016 Ford GT & 1966 Ford GT40,2017,373
Bulldozer,1979,373
The Blaze Bridge,2019,372
Winter Elves Scene,2022,372
Eagles' Castle,2013,372
Overlord Dragon,2021,372
Steampunk Mini Chess,2019,372
Police Headquarters,1979,372
Pirate Tank,2009,372
Classic TV Series Batman Cowl,2021,372
Alien Avenger,1997,371
Jango Fett's Slave I,2002,371
Skeleton Bowling,2011,371
Wonder Woman vs. Cheetah,2020,371
Soldiers' Fort,2009,371
Dr. Fox Laboratory,2018,371
Heartlake Vet,2012,371
Spider-Man at the Sanctum Workshop,2021,371
Friends Advent Calendar 2021,2021,370
RC Tracked Racer,2017,370
Ariel's Treasure Chest,2023,370
Heartlake Frozen Yogurt Shop,2017,370
Anakin's Custom Jedi Starfighter,2015,370
First Order AT-ST,2018,370
Lakeside Lodge,2016,370
Rapunzel's Tower,2020,369
Hayabusa,2012,369
Tony Stark's Sakaarian Iron Man,2021,369
Cyber Strikers,1998,369
Berserker Bomber,2018,369
Fire Utility Truck,2016,368
Turtle Van Takedown,2014,368
Easter Basket,2023,368
Spyder Slayer,1998,368
The Mill,2011,368
The Bat vs. Bane: Tumbler Chase,2013,368
Spider Slayer,1998,368
Wookiee Attack,2005,368
Villy Thomsen Truck,2013,367
Cruncher Block & Racer X,2008,367
Coast Watch HQ,2003,367
Clay's Rumble Blade,2016,367
Robo-Guardian,1994,367
Bulldozer,1979,367
Master Your Adventure Maker Set,2021,366
Bane Toxic Truck Attack,2017,366
TTX Intermodal Double-Stack Car,2005,366
Dino 2010 Track Transport,2005,366
Toa Mata Nui,2009,366
Mini Robots,2020,366
1989 Batmobile - Limited Edition,2019,366
Fire Rescue,1991,365
Mobile Defense Tank,2006,365
Jungle Bridge Rescue,2014,365
Cinderella and Prince Charming's Castle,2022,365
Train Set,1969,365
Hurricane Harbor,1995,365
Combine Harvester,2009,365
Iron Man: Malibu Mansion Attack,2013,365
Roadwork Crew,2017,365
Train Station,2010,365
Prison Tower Rescue,2010,365
ShuriCopter,2019,364
Deluxe Motorized Train Set,1968,364
Airport VIP Service,2016,364
Moon Landing,1975,364
Sky Copter,1978,364
Rolling Acres Ranch,1992,364
Extreme Off-Roader,2001,364
Moon Landing,1976,364
Undersea Explorer,2010,364
Challenger Set 300,1998,364
"Buildings, Mansions and Shops",2001,364
Reconnaisance Helicopter,1977,364
Extreme Team Challenge,1998,364
The Skeleton Dungeon,2022,364
Tower Raid,2008,364
Brandenburg Gate,2011,363
Holiday Home,1987,363
The Orc Forge,2012,363
Robo Master,1997,363
Fire Plane,2019,363
Off Road Race Track,2002,363
Medium Bucket,1998,363
Eclipse Fighter,2016,363
Holiday Home with Caravan,1989,363
LEGO Brand Store,2018,362
Starter Train Set with Motor,1967,362
War Machine Buster,2019,362
Coast Guard Truck with Speed Boat,2008,362
Police Monster Truck Heist,2020,362
Mining Truck,2015,362
HH-87 Starhopper,2014,362
Excavator,1984,362
Magical Funfair Stalls,2021,361
Ariel & Ursula,2018,361
Sydney,2017,361
Stormtrooper,2001,361
Destiny's Shadow,2017,361
Baking Competition,2020,361
Revvin' Riders,2006,361
Titanium Dragon,2015,361
Wheels,1998,360
Rally Support Truck,1990,360
The Final Showdown,2003,360
LEGOLAND Water Park,2021,360
Wheels Set,2007,360
Azari & the Fire Lion Capture,2018,360
Jurassic Park Velociraptor Chase,2018,360
Forestmen's River Fortress,1989,359
Island Adventures,2017,359
Doctor Strange's Sanctum Sanctorum,2016,359
Royal Talon Fighter Attack,2018,358
Harvester Transport,2019,358
A-Wing Starfighter,2017,358
Ludo,2006,358
Train with 12V Electric Motor,1969,358
Newbury Subway,2020,357
Science & Technology Base Set,2006,357
Pier Police,1991,357
Universal Building Set,1983,357
Modular Poolside Holiday,2017,356
Toys 'R' Us Truck,2010,356
Midi-Scale Millennium Falcon,2009,356
Blacktron Cruiser,2023,356
Gateway of the Squid,2010,356
Rapid River Village,2002,356
Treehouse,2013,356
Ninja Sub Speeder,2021,356
Log Cabin,2011,355
Cloud-Rider Swoop Bikes,2018,355
Shuri's Sunbird,2022,355
King Namor's Throne Room,2022,355
TIE Advanced Prototype,2015,355
Big Bad Island Expansion Set,2022,354
Service Station,2020,354
Gator Swamp,2010,354
Deep Sea Predators,2004,354
Deep Sea Bounty,1997,354
Rapid River Village,1997,354
Adventures with Peach Starter Course,2022,354
Tractor,2012,353
Town Vehicles,1999,353
Pineapple Pencil Holder,2020,353
Dozer,2009,352
Numbers and Mosaics Set,2008,352
Stephanie's Horse Jumping,2019,352
Sphinx Secret Surprise,1998,352
Batmobile: Pursuit of The Joker,2019,352
Gold City Junction,1996,352
Helicopter Arrest,2013,352
Space Station Zenon,1995,352
Fish Tank,2021,352
Mission 3: Gold Hunt,2008,352
Le Fleuriste Collector Vase - Rapid Flore Pop Color,2010,352
Slytherin House Banner,2023,352
Mia's Tree House,2018,351
Fast Track Finish,1996,351
Aerial Acrobats,1993,351
Tunnel Transport,1999,351
Grand Central Station,2003,351
Electric Freestyle Set,1995,351
The Flying Flusher,2014,351
Cinderella's Enchanted Evening,2017,351
Batgirl Secret Bunker,2017,351
Auto Transporter,2014,350
Le Fleuriste Collector Vase - Monceau Fleurs Blue Chic,2010,350
Function Set,1992,350
Jay's Elemental Dragon,2016,350
Race Car Rally,2014,350
Basic Building Set,1990,350
Technic Chainlinks,1987,350
Triwizard Tournament: The Black Lake,2023,349
City Advent Calendar 2021,2021,349
Street 'n' Mud Racer,2002,349
Heavy Loader,2006,348
Magical Caravan,2021,348
Eris' Eagle Interceptor,2013,348
Shuttle Transcon 2,1995,348
Super Rescue Complex,1999,348
Sonar Transmitting Cruiser,1986,348
Ultrakatty & Warrior Lucy!,2019,348
Gandalf the Grey and Balrog,2023,348
Houses of the World 1,2023,348
Gorilla Grodd Goes Bananas,2015,348
The Starlight Inn,2016,347
Hybrid Rescue Tank,2008,347
Tractor,1986,347
4 x 4 Response Unit,2017,347
Big Ben,2012,346
B-wing at Rebel Control Center,2000,346
Everyone Is Awesome,2021,346
Heartlake Downtown Diner,2023,346
Han Solo's Landspeeder,2018,345
The Leaning Tower of Pisa,2013,345
Fast & Furious 1970 Dodge Charger R/T,2022,345
Drifting Diner,2018,345
Batman Classic TV Series Batmobile,2021,345
Race Kart,2016,345
Ice Station Odyssey,1993,344
Record and Play,2003,344
Pickup & Caravan,2018,344
Gaming Tournament Truck,2023,344
Ice Cream Machine,2014,344
"Voldemort, Nagini & Bellatrix",2021,344
Truck & Forklift,2008,343
Hogwarts Courtyard: Sirius's Rescue,2022,343
Santa's Sleigh,2021,343
Titanium Ninja Tumbler,2016,343
Aira's Airship & the Amulet Chase,2017,343
Captain Carter & The Hydra Stomper,2021,343
Emma's Fashion Shop,2020,343
Fire Helicopter,2010,342
Mission 4: Speedboat Rescue,2008,342
City Advent Calendar 2020,2020,342
Galaxy Explorer,1979,342
Car Transporter,2021,342
Space Cruiser and Moonbase,1979,342
Mr. Claus & Mrs. Claus,2018,341
Creationary,2009,341
Flying Jelly Sub,2017,341
Shuttle Transporter,2019,341
Car Transport Depot,1986,341
Heartlake Hair Salon,2015,341
Manta Ray Bomber,2017,341
The Rabbit Ranch,2022,340
Mr. and Mrs. Claus' Living Room,2021,340
Basic Building Set,1985,340
McLaren Mercedes Pit Stop,2015,340
Mobile Crane,2022,340
Fuel Refinery,1976,340
"Scrooge McDuck, Huey, Dewey & Louie",2021,340
Villa Belville,1996,339
Tiger Shark Attack,2007,339
Spy Jet Escape,2011,339
Drawbridge Defense,2009,339
Build-N-Store Chest,1990,339
Equila's Ultra Striker,2013,339
The Goblin King's Evil Dragon,2017,339
C-3PO,2001,339
Engine Co. No. 9,1978,338
Basic Set,1973,338
The Battle of Helm's Deep,2013,338
Building Set,1973,338
Bat Pod,2015,338
Bus Station,2017,337
Castle Set,1997,337
X-Men vs. The Sentinel,2014,337
Han Solo on his Tauntaun,2011,337
The Chum Bucket,2007,337
Battle Droid,2000,336
Money Tree,2023,336
Fire Station,1978,336
Witch Doctor,2011,336
Graveyard Mystery,2019,336
Heartlake City Brick Box,2020,336
Star Wars Advent Calendar 2021,2021,336
High Speed Train,2003,336
Tree-Planting Vehicle,2022,336
Xtreme Tower,2002,336
Visorak's Gate,2005,335
Iron Skull Sub Attack,2016,335
Creator Advent Calendar 2004,2004,335
Olivia's Cupcake Cafe,2019,335
Emperor's Stronghold,1999,335
Harry Potter Advent Calendar 2020,2020,335
Battle for Geonosis,2011,335
Harry Potter Advent Calendar 2022,2022,334
Thunder Raider,2014,334
Barrel Escape,2012,334
Pneumatic Log Loader / Pneumatic Logger,1996,334
Motorized Train Set,1966,334
Charles Dickens Tribute,2020,333
Creative Neon Fun,2023,333
Ultimate Accessory Kit,2005,333
Creative Ocean Fun,2022,333
Creative Pastel Fun,2023,333
Snowmobile,2007,333
Burj Khalifa,2016,333
Race Plane,2019,333
Burj Khalifa,2019,333
ETX Alien Infiltrator,2008,333
Dragster Transporter,2017,333
Town Center Set with Roadways,1972,332
Heavy Hauler,2007,332
Harry Potter: Hogwarts,2010,332
Hovercraft Arrest,2015,331
Basic Building Set with Storage Case,1987,331
Racing Yacht,2018,331
Sanctuary II: Endgame Battle,2021,331
Heartlake City Airplane Tour,2018,331
Candy Castle Stage,2021,331
iFountain (Lego / Coca-Cola Employee Exclusive),2001,331
App-Controlled Batmobile,2018,331
Tanker Truck Takedown,2016,330
Basic Building Set,1987,330
Max Security Transport,2009,330
Basic Set,1973,330
Sailboat Adventure,2021,330
Volcano Supply Helicopter,2016,330
Friends Advent Calendar 2019,2019,330
Baby Rocket's Ship,2023,330
Eris' Fire Eagle Flyer,2014,330
Droid Gunship,2008,329
Monster Truck,2013,329
T-Rex Transport,2000,329
Inter-Galactic Command Base,1984,329
Santa's Workshop,2022,329
Medium Bucket,1997,329
Star Wars Advent Calendar 2022,2022,329
Boba Fett & Han Solo in Carbonite,2017,329
Death Star Escape,2019,329
Kingdoms Chess,2012,329
Competition Ultra Challenge [aka Cyber Stinger],1999,329
Heartlake Sports Center,2017,328
Race Car Transporter,2021,328
Garmatron,2013,328
Discovery Station,1997,328
Yellow Racers,2014,328
Halloween Cat & Mouse,2022,328
Rattlecopter,2012,327
The Snow Hideout,2015,327
Wolverine Construction Figure,2023,327
Burger Bar Fire Rescue,2019,327
Nyíregyháza Factory,2014,327
Train Level Crossing,2003,327
Robot,1987,327
Darth Vader Bust,2019,327
Former Kowloon-Canton Railway Clock Tower,2017,327
Space Mining Mech,2021,327
Large Dinosaur Bucket,1994,327
Mickey & Friends Bracelets Mega Pack,2022,327
Freight Loading Depot with Wagon,1983,326
Santa Fe Cars - Set I (mail or baggage car),2002,326
Basic Bricks,2010,326
Excavator / Digger,1988,326
Airport Fire Truck,2014,326
Basic Bricks Limited Edition,2010,326
WeDo Resource Set,2011,326
Forest House,2021,326
Heartlake City Playground,2017,326
Robobots,2003,326
The Race of the Year,2001,326
Twin Spin Helicopter,2016,326
Spinning Brushes Car Wash,2018,325
Adventure Camper,2012,325
Marvel The Avengers Advent Calendar 2021,2021,325
Rescue Helicopter,2019,325
Sungnyemun,2012,325
Funny Octopus Ride,2019,324
The Grand Tournament,2004,324
Remote-Controlled Stunt Racer,2019,324
Raptor Rampage,2015,324
Azari and the Magical Bakery,2015,324
Volcano Crawler,2016,324
Tractor,1977,324
Ayesha's Revenge,2017,324
Cargo Carrier,1987,323
Kai's Mech Rider EVO,2023,323
Rapunzel's Travelling Caravan,2018,323
Grand Prix Truck,2013,323
Telehandler,2006,323
Pencil Holder,2021,323
Jay and Lloyd's Velocity Racers,2020,323
Ultimate Builders Set,2001,322
Wu's Battle Dragon,2020,322
Tractor,1978,322
Arctic Scout Truck,2018,322
Sleeping Beauty's Fairytale Castle,2018,322
Mechanical Engineering Set,2001,322
Moana's Wayfinding Boat,2023,321
Exo-Suit,2014,321
Escape From The Ten Rings,2021,321
Princess Enchanted Journey,2023,320
The Monster Book of Monsters,2020,320
Adventure Camp Rafting,2016,320
4-Wheeling Pursuit,2009,320
Basic Building Set,1987,320
The Eiffel Tower,2014,320
Imperial Flagship,1992,320
Jungle Tree Sanctuary,2014,320
Cargo Truck,2013,320
Cruella & Maleficent,2023,320
Ice Cream Truck Police Chase,2022,319
Aira's Pegasus Sleigh,2015,319
2 Fast 2 Furious Nissan Skyline GT-R (R34),2023,319
Wild Windup,2003,319
River Expedition,1999,319
Baja Desert Racers,2003,319
Surveillance Squad,1994,319
Naboo Starfighter,2011,318
Easter Chicks,2022,318
Universal Building Set,1976,318
Technology Activity Set,1994,318
Universal Building Set,1977,318
Creator Advent Calendar 2003,2003,318
The Wither,2016,318
The Heligoyle,2017,318
Cad Bane's Speeder,2010,318
Police Helicopter Transport,2020,317
Santa's Front Yard,2021,317
Highway Construction,2000,317
Universal Building Set with Flex System,1991,317
SP Undercover Cruiser,2010,317
Robbers' Hideout,2012,317
Heartlake Supermarket,2016,316
Helicopter,1981,316
The Ruined Portal,2021,316
Basic Building Set,1985,315
Bull's Attack,2000,315
Motorbike,2002,315
Special Elements for eLAB Renewable Energy Set,2002,315
Mag Wheel Master,1998,315
Circuit Shock Racer / V-Twin Super Bike,1995,315
KOM Moulding,2012,315
Renegade,1987,315
Beast Master's Chaos Chariot,2016,314
Super Model,1983,314
Heartlake City Organic Café,2021,314
Buggy,2010,314
Bad Cop's Pursuit,2014,314
Crocodile Locomotive,1991,314
12V Freight Train and Track,1974,314
Motorized Truck Set,1967,314
The Vampire Hearse,2012,314
Vermillion Invader,2017,313
City Advent Calendar 2018,2018,313
Summer Caravan,2014,313
Attack on Lake-town,2014,313
Police Dog Van,2012,313
Hufflepuff House Banner,2023,313
Shipwreck Hideout,2009,313
Vet Clinic Ambulance,2021,313
Wintertime Polar Bears,2022,312
Flash Speeder,2015,312
Friends Advent Calendar 2022,2022,312
Naida's Epic Adventure Ship,2015,312
Infearno Interception,2014,312
Spider-Man & Doctor Octopus Mech Battle,2021,312
Emmet's Triple-Decker Couch Mech,2019,312
Castle Fortaan,2011,312
Army of Vikings with Heavy Artillery Wagon,2006,312
The Big Family House,1997,312
Drillex Diamond Job,2015,312
Master Falls,2017,312
Aero Booster,2007,312
Condrai Copter Attack,2015,311
Star Wars Advent Calendar 2020,2020,311
Wrecked Shrimp Boat,2019,311
Star Slicer,2013,311
Excavator and Truck,2015,311
Cars and Planes,1998,311
Tormak's Shadow Blazer,2015,311
Homing Spider Droid,2016,310
Farmers Market Van,2022,310
Heavy Cargo Transport,2018,310
Captain America Construction Figure,2023,310
Bionicle Trading Card Game - Quest for the Mask - All Cards,2001,310
Passenger Plane - ANA Version,2010,310
Airport,2011,310
Sith Infiltrator,2007,310
Temple of Mount Everest,2003,310
Minions Kung Fu Battle,2021,310
Basic Set,1981,310
Warp Stinger,2013,310
Monkie Kid's Staff Creations,2022,310
"Belle Bottom, Kevin and Bob",2021,309
Passenger Plane,2010,309
Air Enforcer / Supercopter,1999,309
Mace Windu's Jedi Starfighter,2011,309
Snowspeeder - 20th Anniversary Edition,2019,309
Andrea's Speedboat Transporter,2017,309
Freestyle Playdesk,1998,309
Baryonyx Dinosaur Boat Escape,2021,309
Star Wars Advent Calendar 2017,2017,309
Street Race of Snake Jaguar,2018,308
Quad Bike,2009,308
Fire Boat,2010,308
Moana's Ocean Voyage,2016,307
Kryptonite Interception,2016,307
Delivery Center,1985,307
Captain Marvel and The Skrull Attack,2019,307
Monster Truck Transporter,2013,307
Star Wars Advent Calendar 2018,2018,307
Zane’s Dragon Power Spinjitzu Race Car,2023,307
Creative Personalities,2018,307
Large House Set,1971,307
Snow Resort Ice Rink,2017,307
60th Anniversary Yellow Pencil Pot,2018,307
Bride,2020,306
ROBOLAB Amusement Park Set,2005,306
Maersk Line Container Truck,1980,306
Res-Q Cruiser,1998,306
Toyota GR Supra,2021,306
Quetzalcoatlus Plane Ambush,2022,306
Pony Farm,2014,306
Excavator Transport,2012,305
Heartlake Pizzeria,2017,305
Star Wars Battle of Hoth,2012,305
Basic Circus,1999,305
Batman: The Riddler Chase,2014,305
Blizzard Blaster,2004,305
Sea Scorpion,1998,305
Outback Cabin,2019,305
Solar Power Transporter,1985,305
Fast Flyers,2007,305
Stephanie's Sailing Adventure,2022,305
Republic Fighter Tank,2017,305
The Penguin Arctic Roller,2017,305
Ravenclaw House Banner,2023,305
Harry Potter Advent Calendar 2019,2019,305
Super Wheel Toy Set,1965,304
The Frozen Peaks,2023,304
Poodle,2022,304
TIE Defender,2010,304
Ice Skating Rink,2020,304
Hagrid's Hut,2004,304
The Pillager Outpost,2020,303
Creative Supplement,2015,303
STEAM Park,2017,303
Creative Supplement Bright,2015,303
Mountain Arrest,2018,303
El Fuego's Stunt Plane,2020,303
Molten Man Battle,2019,302
Car Repair Shop,1985,302
Tiger Hot Air Balloon Jungle Rescue,2020,302
Enchanted Treehouse,2019,302
Transportation,2004,302
4x4 with Powerboat,2015,302
Coast Guard Station,1978,302
Universal Building Set,1980,302
Christmas Gift Box,2018,301
Elsa's Jewelry Box Creation,2019,301
Aaron Fox's Aero-Striker V2,2016,301
Construction Site,2005,301
Moving Truck,2023,301
Ferry,2016,301
Aurora's Forest Cottage,2020,301
Police Brick Box,2020,301
Nissan GT-R NISMO,2020,301
Mazeka,2008,301
The Mystery Machine,2015,301
Fire Emergency,2013,301
The Batcopter: The Chase for the Scarecrow,2007,300
Police Headquarters,1976,300
Anakin's Jedi Interceptor,2012,300
Police Headquarters,1976,300
The Nether Bastion,2022,300
Spider-Helicopter Rescue,2014,300
Twisted Time Train,1997,300
Dog Rescue Van,2023,300
Box of Bricks,2005,300
Basic Brick Set,2019,300
Road Construction Set,2008,300
Red Son's Inferno Jet,2021,299
Sweeper & Excavator,2017,299
Surfer Beach Fun,2022,299
Chain Cycle Ambush,2015,298
Marina,2011,298
Pop Star Dressing Room,2015,298
Krusty Krab,2006,298
Rapunzel's Creativity Tower,2014,298
Radio Control Racer,1998,298
Valentine Lovebirds,2022,298
Turbo Shredder,2011,298
Hydro Search Sub,1998,298
Spider-Man's Train Rescue,2004,298
Imagination Set 1,1971,298
Hogwarts Moment: Divination Class,2022,298
Hagrid's Hut,2001,298
Escape from Mirkwood Spiders,2012,298
Radio Control Racer,2001,298
Mars Spacecraft Exploration Missions,2022,298
Aston Martin DB5,2022,298
Dirt Road Pursuit,2018,297
Recycling Truck,2012,297
Le Fleuriste Collector Vase - Happy,2010,297
Hoth Wampa Cave,2010,297
Seaside Police and Fire Mission,2021,297
Wakz' Pack Tracker,2013,297
Cole's Earth Dragon EVO,2023,297
Drag Race Rally,1998,297
Spider-Man's Doc Ock Ambush,2012,296
Woody and Bo Peep,2022,296
Ice Cream Shop,2023,296
Spider-Man & Green Goblin Mech Battle,2022,296
Venom,2022,296
Trauma Team,1992,296
Raid Zeppelin,2016,295
Robot Command Center,1984,295
NASA Mars Science Laboratory Curiosity Rover,2014,295
Empire Dragon,2020,295
World Fun,2018,295
Bespin Duel,2020,295
Fire Rescue & Police Chase,2022,295
The Mandalorian & The Child,2020,295
Homing Spider Droid,2013,295
Mining Heavy Driller,2018,294
Championship Challenge,2000,294
Resistance Transport Pod,2017,294
